GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,RCPSZFF.id,RCPSZFF.display-label,YEAR.id,FIRM,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP
0100000US,,United States,2211,"Electric power generation, transmission and distribution",999,Firms not operated for the entire year,2012,128,129,744422,91318,26684,1182
0100000US,,United States,22111,Electric power generation,001,All firms,2012,586,2678,120025497,14847230,4447480,146701
0100000US,,United States,22111,Electric power generation,004,Firms operated for the entire year,2012,519,2607,119347918,14774569,4426839,145845
0100000US,,United States,22111,Electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,56,57,1682,242248,67168,2388
0100000US,,United States,22111,Electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,33,33,5633,2671,674,73
0100000US,,United States,22111,Electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,42,43,15822,5142,1245,105
0100000US,,United States,22111,Electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,38,42,27682,7683,1856,149
0100000US,,United States,22111,Electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,75,100,121116,26812,6534,430
0100000US,,United States,22111,Electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,35,40,124995,41457,11050,541
0100000US,,United States,22111,Electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,38,47,279836,67507,17077,810
0100000US,,United States,22111,Electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,48,79,763948,193928,55442,2496
0100000US,,United States,22111,Electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,26,55,940474,131251,36703,1495
0100000US,,United States,22111,Electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,18,89,1186668,217020,60799,2437
0100000US,,United States,22111,Electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,31,252,5276137,589342,157598,7041
0100000US,,United States,22111,Electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,27,251,9567701,1036217,292688,10797
0100000US,,United States,22111,Electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,52,1519,101036224,12213291,3718005,117083
0100000US,,United States,22111,Electric power generation,999,Firms not operated for the entire year,2012,67,71,677579,72661,20641,856
0100000US,,United States,221111,Hydroelectric power generation,001,All firms,2012,137,405,2452297,274179,75946,3464
0100000US,,United States,221111,Hydroelectric power generation,004,Firms operated for the entire year,2012,125,393,D,D,D,h
0100000US,,United States,221111,Hydroelectric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,20,20,884,651,149,25
0100000US,,United States,221111,Hydroelectric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,9,9,1446,402,92,20
0100000US,,United States,221111,Hydroelectric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,19,20,6918,1938,435,47
0100000US,,United States,221111,Hydroelectric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,15,16,10314,3124,782,67
0100000US,,United States,221111,Hydroelectric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,21,45,34008,6830,1582,133
0100000US,,United States,221111,Hydroelectric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,5,5,17899,2194,572,45
0100000US,,United States,221111,Hydroelectric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,5,8,37459,10617,2553,145
0100000US,,United States,221111,Hydroelectric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,7,13,110044,12548,3154,159
0100000US,,United States,221111,Hydroelectric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,7,33,248840,29950,8584,413
0100000US,,United States,221111,Hydroelectric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,9,88,594796,74575,20520,906
0100000US,,United States,221111,Hydroelectric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,7,93,D,D,D,g
0100000US,,United States,221111,Hydroelectric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,1,43,D,D,D,e
0100000US,,United States,221111,Hydroelectric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,0,0,0,0,0,0
0100000US,,United States,221111,Hydroelectric power generation,999,Firms not operated for the entire year,2012,12,12,D,D,D,a
0100000US,,United States,221112,Fossil fuel electric power generation,001,All firms,2012,222,1416,81473633,7997908,2350526,82071
0100000US,,United States,221112,Fossil fuel electric power generation,004,Firms operated for the entire year,2012,203,1395,D,D,D,l
0100000US,,United States,221112,Fossil fuel electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,4,4,203,2300,576,31
0100000US,,United States,221112,Fossil fuel electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,5,5,872,423,102,9
0100000US,,United States,221112,Fossil fuel electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,5,5,1862,603,184,10
0100000US,,United States,221112,Fossil fuel electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,8,9,6200,1268,280,36
0100000US,,United States,221112,Fossil fuel electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,13,13,20503,3783,981,62
0100000US,,United States,221112,Fossil fuel electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,8,8,30462,6922,2082,89
0100000US,,United States,221112,Fossil fuel electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,15,26,116827,33639,8445,466
0100000US,,United States,221112,Fossil fuel electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,21,28,314292,93014,28423,944
0100000US,,United States,221112,Fossil fuel electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,16,30,608201,89743,26221,914
0100000US,,United States,221112,Fossil fuel electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,11,54,728702,146360,40395,1648
0100000US,,United States,221112,Fossil fuel electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,25,93,3988204,420659,113085,5077
0100000US,,United States,221112,Fossil fuel electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,23,133,D,D,D,i
0100000US,,United States,221112,Fossil fuel electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,49,987,D,D,D,l
0100000US,,United States,221112,Fossil fuel electric power generation,999,Firms not operated for the entire year,2012,19,21,D,D,D,f
0100000US,,United States,221113,Nuclear electric power generation,001,All firms,2012,29,141,28867709,5698273,1753105,51354
0100000US,,United States,221113,Nuclear electric power generation,004,Firms operated for the entire year,2012,29,141,28867709,5698273,1753105,51354
0100000US,,United States,221113,Nuclear electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,3,4,D,D,D,g
0100000US,,United States,221113,Nuclear electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,0,0,0,0,0,0
0100000US,,United States,221113,Nuclear electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,0,0,0,0,0,0
0100000US,,United States,221113,Nuclear electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,1,1,D,D,D,a
0100000US,,United States,221113,Nuclear electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,0,0,0,0,0,0
0100000US,,United States,221113,Nuclear electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221113,Nuclear electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,2,2,D,D,D,a
0100000US,,United States,221113,Nuclear electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,3,4,39362,9896,4217,131
0100000US,,United States,221113,Nuclear electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,1,1,D,D,D,a
0100000US,,United States,221113,Nuclear electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221113,Nuclear electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,1,1,D,D,D,a
0100000US,,United States,221113,Nuclear electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,4,10,D,D,D,h
0100000US,,United States,221113,Nuclear electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,14,118,27000933,4963581,1535789,44192
0100000US,,United States,221113,Nuclear electric power generation,999,Firms not operated for the entire year,2012,0,0,0,0,0,0
0100000US,,United States,221114,Solar electric power generation,001,All firms,2012,107,136,427577,117846,31284,1582
0100000US,,United States,221114,Solar electric power generation,004,Firms operated for the entire year,2012,83,112,420935,111516,28650,1436
0100000US,,United States,221114,Solar electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,14,14,163,6902,1595,65
0100000US,,United States,221114,Solar electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,5,5,816,278,76,7
0100000US,,United States,221114,Solar electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,5,5,1956,270,58,7
0100000US,,United States,221114,Solar electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,8,8,D,D,D,a
0100000US,,United States,221114,Solar electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,16,17,D,D,D,c
0100000US,,United States,221114,Solar electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,12,12,41989,22618,6153,285
0100000US,,United States,221114,Solar electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,14,17,D,D,D,c
0100000US,,United States,221114,Solar electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,5,6,74365,24129,5871,428
0100000US,,United States,221114,Solar electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,3,9,91546,7639,2540,133
0100000US,,United States,221114,Solar electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,1,19,D,D,D,c
0100000US,,United States,221114,Solar electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221114,Solar electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221114,Solar electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,0,0,0,0,0,0
0100000US,,United States,221114,Solar electric power generation,999,Firms not operated for the entire year,2012,24,24,6642,6330,2634,146
0100000US,,United States,221115,Wind electric power generation,001,All firms,2012,92,410,5058261,510302,168790,5347
0100000US,,United States,221115,Wind electric power generation,004,Firms operated for the entire year,2012,87,405,5055460,509819,168784,5346
0100000US,,United States,221115,Wind electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,7,7,188,9664,2445,108
0100000US,,United States,221115,Wind electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,7,7,1236,554,145,13
0100000US,,United States,221115,Wind electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,7,7,2654,1095,292,13
0100000US,,United States,221115,Wind electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,6,8,3942,2066,506,32
0100000US,,United States,221115,Wind electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,15,16,24230,5169,1367,82
0100000US,,United States,221115,Wind electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,8,11,D,D,D,c
0100000US,,United States,221115,Wind electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,5,13,36005,9479,2597,110
0100000US,,United States,221115,Wind electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,10,12,182370,25414,6960,345
0100000US,,United States,221115,Wind electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,9,37,276062,40302,12727,450
0100000US,,United States,221115,Wind electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,6,27,D,D,D,f
0100000US,,United States,221115,Wind electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,2,15,D,D,D,e
0100000US,,United States,221115,Wind electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,3,61,1092434,87927,23766,913
0100000US,,United States,221115,Wind electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,2,184,D,D,D,g
0100000US,,United States,221115,Wind electric power generation,999,Firms not operated for the entire year,2012,5,5,2801,483,6,1
0100000US,,United States,221116,Geothermal electric power generation,001,All firms,2012,18,45,981196,124469,33838,1235
0100000US,,United States,221116,Geothermal electric power generation,004,Firms operated for the entire year,2012,17,44,D,D,D,g
0100000US,,United States,221116,Geothermal electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,0,0,0,0,0,0
0100000US,,United States,221116,Geothermal electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,2,2,D,D,D,a
0100000US,,United States,221116,Geothermal electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,2,2,D,D,D,a
0100000US,,United States,221116,Geothermal electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,0,0,0,0,0,0
0100000US,,United States,221116,Geothermal electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,2,2,D,D,D,a
0100000US,,United States,221116,Geothermal electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,2,3,D,D,D,b
0100000US,,United States,221116,Geothermal electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,1,1,D,D,D,b
0100000US,,United States,221116,Geothermal electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,3,17,59168,13479,3141,155
0100000US,,United States,221116,Geothermal electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,1,1,D,D,D,b
0100000US,,United States,221116,Geothermal electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221116,Geothermal electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,3,15,D,D,D,f
0100000US,,United States,221116,Geothermal electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,1,1,D,D,D,e
0100000US,,United States,221116,Geothermal electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,0,0,0,0,0,0
0100000US,,United States,221116,Geothermal electric power generation,999,Firms not operated for the entire year,2012,1,1,D,D,D,a
0100000US,,United States,221117,Biomass electric power generation,001,All firms,2012,68,107,721459,105686,28878,1424
0100000US,,United States,221117,Biomass electric power generation,004,Firms operated for the entire year,2012,59,98,710957,99721,28113,1399
0100000US,,United States,221117,Biomass electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,5,5,51,1449,376,31
0100000US,,United States,221117,Biomass electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,3,3,D,D,D,a
0100000US,,United States,221117,Biomass electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,6,6,2368,1052,293,18
0100000US,,United States,221117,Biomass electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,2,2,D,D,D,a
0100000US,,United States,221117,Biomass electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,10,10,18159,3350,791,51
0100000US,,United States,221117,Biomass electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,6,7,21297,3981,867,77
0100000US,,United States,221117,Biomass electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,6,8,48046,9863,3190,140
0100000US,,United States,221117,Biomass electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,12,24,D,D,D,e
0100000US,,United States,221117,Biomass electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,6,9,207600,30390,8066,338
0100000US,,United States,221117,Biomass electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,2,18,D,D,D,c
0100000US,,United States,221117,Biomass electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,1,6,D,D,D,c
0100000US,,United States,221117,Biomass electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221117,Biomass electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,0,0,0,0,0,0
0100000US,,United States,221117,Biomass electric power generation,999,Firms not operated for the entire year,2012,9,9,10502,5965,765,25
0100000US,,United States,221118,Other electric power generation,001,All firms,2012,16,18,43365,18567,5113,224
0100000US,,United States,221118,Other electric power generation,004,Firms operated for the entire year,2012,16,18,43365,18567,5113,224
0100000US,,United States,221118,Other electric power generation,514,"Firms operated entire year with sales/receipts/revenue less than $100,000",2012,5,5,D,D,D,b
0100000US,,United States,221118,Other electric power generation,523,"Firms operated entire year with sales/receipts/revenue of $100,000 to $249,999",2012,2,2,D,D,D,a
0100000US,,United States,221118,Other electric power generation,525,"Firms operated entire year with sales/receipts/revenue of $250,000 to $499,999",2012,3,3,1265,606,132,15
0100000US,,United States,221118,Other electric power generation,531,"Firms operated entire year with sales/receipts/revenue of $500,000 to $999,999",2012,1,1,D,D,D,a
0100000US,,United States,221118,Other electric power generation,533,"Firms operated entire year with sales/receipts/revenue of $1,000,000 to $2,499,999",2012,2,2,D,D,D,a
0100000US,,United States,221118,Other electric power generation,541,"Firms operated entire year with sales/receipts/revenue of $2,500,000 to $4,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,542,"Firms operated entire year with sales/receipts/revenue of $5,000,000 to $9,999,999",2012,1,1,D,D,D,b
0100000US,,United States,221118,Other electric power generation,551,"Firms operated entire year with sales/receipts/revenue of $10,000,000 to $24,999,999",2012,2,4,D,D,D,b
0100000US,,United States,221118,Other electric power generation,553,"Firms operated entire year with sales/receipts/revenue of $25,000,000 to $49,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,561,"Firms operated entire year with sales/receipts/revenue of $50,000,000 to $99,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,563,"Firms operated entire year with sales/receipts/revenue of $100,000,000 to $249,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,572,"Firms operated entire year with sales/receipts/revenue of $250,000,000 to $499,999,999",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,581,"Firms operated entire year with sales/receipts/revenue of $500,000,000 or more",2012,0,0,0,0,0,0
0100000US,,United States,221118,Other electric power generation,999,Firms not operated for the entire year,2012,0,0,0,0,0,0
0100000US,,United States,22112,"Electric power transmission, control, and distribution",001,All firms,2012,1250,7652,310053798,35089693,10517592,375309
